"title","author","isbn","topic","format","location","year","total_copies"
"Introduction to Algorithms","Thomas H. Cormen","9780262033848","Algorithms","book","CS-101","2022","5"
"Artificial Intelligence: A Modern Approach","Stuart Russell","9780134610993","Artificial Intelligence","book","AI-201","2020","3"
"Python for Data Analysis","Wes McKinney","9781491957660","Data Science","book","DS-301","2017","4"
"Clean Code","Robert C. Martin","9780132350884","General","book","GEN-01","2008","6"
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow","Aurélien Géron","9781492032649","Machine Learning","book","ML-401","2019","4"
"Operating System Concepts","Abraham Silberschatz","9781118063330","Operating Systems","book","OS-501","2018","3"
"Introduction to the Theory of Computation","Michael Sipser","9781133187790","Theory of Computation","book","TH-601","2012","2"
"The Algorithm Design Manual","Steven S. Skiena","9781848000698","Algorithms","book","CS-102","2020","3"
"Deep Learning","Ian Goodfellow","9780262035613","Machine Learning","book","ML-402","2016","5"
"The Pragmatic Programmer","Andrew Hunt","9780135957059","General","book","GEN-02","2019","4"
"Data Science from Scratch","Joel Grus","9781492041139","Data Science","book","DS-302","2019","3"
"Modern Operating Systems","Andrew S. Tanenbaum","9780133591620","Operating Systems","book","OS-502","2014","4"
"Pattern Recognition and Machine Learning","Christopher Bishop","9780387310732","Machine Learning","book","ML-403","2006","2"
"Computers and Intractability","Michael R. Garey","9780716710455","Theory of Computation","book","TH-602","1979","1"
"The Mythical Man-Month","Frederick P. Brooks Jr.","9780201835953","General","book","GEN-03","1995","2"
"Algorithm Design","Jon Kleinberg","9780321295354","Algorithms","book","CS-103","2005","3"
"Superintelligence","Nick Bostrom","9780199678112","Artificial Intelligence","book","AI-202","2014","2"
"The Elements of Statistical Learning","Trevor Hastie","9780387848570","Data Science","book","DS-303","2009","2"
"Operating Systems: Three Easy Pieces","Remzi H. Arpaci-Dusseau","9781312427631","Operating Systems","book","OS-503","2018","5"
"Life 3.0: Being Human in the Age of Artificial Intelligence","Max Tegmark","9781101946596","Artificial Intelligence","book","AI-203","2017","3"
