"title","author","isbn","topic","format","location","year","total_copies"
"Grokking Algorithms","Aditya Bhargava","9781617292231","Algorithms","book","CS-104","2016","4"
"Algorithms","Robert Sedgewick","9780321573513","Algorithms","book","CS-105","2011","5"
"Introduction to Design and Analysis of Algorithms","Anany Levitin","9780132316811","Algorithms","book","CS-106","2011","3"
"Data Structures and Algorithms in Java","Robert Lafore","9780672324536","Algorithms","book","CS-107","2002","2"
"Algorithms Unlocked","Thomas H. Cormen","9780262518802","Algorithms","book","CS-108","2013","4"
"Competitive Programming 4 (Vol 1)","Steven Halim","9789811442483","Algorithms","book","CS-109","2020","3"
"Purely Functional Data Structures","Chris Okasaki","9780521663502","Algorithms","book","CS-110","1998","2"
"The Art of Computer Programming, Vol 1","Donald E. Knuth","9780201896831","Algorithms","book","CS-111","1997","3"
"The Art of Computer Programming, Vol 2","Donald E. Knuth","9780201896848","Algorithms","book","CS-112","1997","2"
"The Art of Computer Programming, Vol 3","Donald E. Knuth","9780201896855","Algorithms","book","CS-113","1998","2"
"Data Structures and Algorithm Analysis in C++","Mark Allen Weiss","9780132847377","Algorithms","book","CS-114","2013","4"
"Dynamic Programming for Coding Interviews","Meenakshi Gopalakrishnan","9781946596147","Algorithms","book","CS-115","2017","3"
"Network Flows: Theory, Algorithms, and Applications","Ravindra K. Ahuja","9780136175490","Algorithms","book","CS-116","1993","2"
"Algorithms in C++ (Parts 1-4)","Robert Sedgewick","9780201350883","Algorithms","book","CS-117","1998","3"
"Problem Solving with Algorithms and Data Structures Using Python","Bradley N. Miller","9781590282571","Algorithms","book","CS-118","2011","5"
"Human Compatible: AI and the Problem of Control","Stuart Russell","9780525558613","Artificial Intelligence","book","AI-204","2019","4"
"AI Superpowers: China, Silicon Valley, and the New World Order","Kai-Fu Lee","9781328546395","Artificial Intelligence","book","AI-205","2018","5"
"Architects of Intelligence","Martin Ford","9781789131512","Artificial Intelligence","book","AI-206","2018","3"
"Gödel, Escher, Bach: An Eternal Golden Braid","Douglas R. Hofstadter","9780465026562","Artificial Intelligence","book","AI-207","1979","4"
"The Master Algorithm","Pedro Domingos","9780465065707","Artificial Intelligence","book","AI-208","2015","4"
"Paradigms of Artificial Intelligence Programming","Peter Norvig","9781558601918","Artificial Intelligence","book","AI-209","1992","2"
"Artificial Intelligence: A Guide for Thinking Humans","Melanie Mitchell","9780374253837","Artificial Intelligence","book","AI-210","2019","4"
"The Alignment Problem","Brian Christian","9780393635829","Artificial Intelligence","book","AI-211","2020","5"
"Reinforcement Learning: An Introduction","Richard S. Sutton","9780262039246","Artificial Intelligence","book","AI-212","2018","4"
"Deep Learning Illustrated","Jon Krohn","9780135116692","Artificial Intelligence","book","AI-213","2019","3"
"Generative Deep Learning","David Foster","9781492041948","Artificial Intelligence","book","AI-214","2019","4"
"Introduction to Artificial Intelligence","Philip C. Jackson","9780486248677","Artificial Intelligence","book","AI-215","1985","2"
"Machine Learning Yearning","Andrew Ng","9780578194486","Artificial Intelligence","book","AI-216","2018","6"
"GenAI on AWS: Building Apps with LLMs","Chris Fregly","9781098145637","Artificial Intelligence","book","AI-217","2024","3"
"Fuzzy Thinking: The New Science of Fuzzy Logic","Bart Kosko","9780786880218","Artificial Intelligence","book","AI-218","1993","2"
"Data Science from Scratch","Joel Grus","9781492041139","Data Science","book","DS-304","2019","5"
"The Elements of Statistical Learning","Trevor Hastie","9780387848570","Data Science","book","DS-305","2009","3"
"Storytelling with Data","Cole Nussbaumer Knaflic","9781119002253","Data Science","book","DS-306","2015","6"
"Practical Statistics for Data Scientists","Peter Bruce","9781492072942","Data Science","book","DS-307","2020","4"
